Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
277,Another One Bites The Dust - Remastered 2011,Queen,glam rock,1980,110,53,93,-6,16,75,215,11,16,82
278,Break My Stride,Matthew Wilder,new wave pop,1983,110,59,92,-11,9,83,184,20,6,81
279,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,119,82,71,-9,9,87,291,21,5,80
280,Summer Of '69,Bryan Adams,album rock,1984,139,83,51,-6,7,77,216,2,4,80
281,You Give Love A Bad Name,Bon Jovi,glam metal,1986,123,96,54,-3,34,81,223,7,5,80
282,Everybody Wants To Rule The World,Tears For Fears,dance rock,1985,112,80,65,-12,10,54,251,35,5,80
283,I'm Still Standing,Elton John,glam rock,1983,177,90,50,-7,14,77,183,36,18,79
284,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,78
285,Uptown Girl,Billy Joel,album rock,1983,129,94,70,-3,60,79,198,7,5,77
286,Radio Ga Ga - 2011 Mix,Queen,glam rock,1984,112,50,74,-8,19,66,348,18,4,76
287,Heaven,Bryan Adams,album rock,1984,140,59,38,-7,12,34,243,5,3,76
288,9 to 5,Dolly Parton,classic country pop,1980,105,78,55,-6,63,81,162,42,5,76
289,Eye of the Tiger,Survivor,album rock,1985,109,60,82,-9,9,55,246,13,3,76
290,Right Here Waiting,Richard Marx,mellow gold,1989,178,25,40,-14,10,13,264,80,3,75
291,Listen to Your Heart,Roxette,europop,1988,86,58,54,-5,11,34,328,11,3,75
292,Born in the U.S.A.,Bruce Springsteen,classic rock,1984,122,95,40,-6,10,58,279,0,6,75
293,Pour Some Sugar On Me - Remastered 2017,Def Leppard,album rock,1987,85,95,27,-5,28,57,267,0,10,74
294,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,11,206,20,3,74
295,Maniac,Michael Sembello,hi-nrg,1983,159,53,62,-12,4,84,245,9,7,73
296,Hungry Eyes,Eric Carmen,adult standards,1997,110,55,71,-9,12,55,251,1,3,73
297,Panama - 2015 Remaster,Van Halen,album rock,1984,141,98,53,-5,7,46,210,0,11,73
298,Forever Young,Alphaville,dance rock,1984,137,48,49,-9,24,33,227,42,3,73
299,I Love Rock 'N Roll,Joan Jett & The Blackhearts,glam punk,1981,94,72,54,-5,66,90,175,33,4,72
300,Sacrifice,Elton John,glam rock,1989,113,42,76,-13,4,49,304,2,3,72
301,Material Girl,Madonna,dance pop,2009,137,88,74,-3,10,98,240,33,3,72
302,The Winner Takes It All,ABBA,europop,1980,126,79,45,-7,9,52,295,57,4,72
303,Smalltown Boy,Bronski Beat,dance rock,1984,135,58,69,-11,12,94,302,29,3,71
304,The Best - Edit,Tina Turner,disco,1991,104,83,68,-6,21,82,250,1,3,71
305,(I Just) Died In Your Arms,Cutting Crew,album rock,1986,125,73,63,-11,6,51,280,2,4,71
306,Brothers In Arms,Dire Straits,album rock,1985,79,30,41,-14,18,14,424,53,3,71
307,Glory of Love,Peter Cetera,adult standards,1986,145,59,52,-8,31,31,258,8,3,71
308,Super Trouper,ABBA,europop,1980,118,63,76,-8,20,96,253,46,3,70
309,Flashdance...What a Feeling - Radio Edit,Irene Cara,dance rock,1983,122,65,57,-7,9,40,237,1,3,70
310,Every Time You Go Away - Radio Edit,Paul Young,album rock,1991,164,72,57,-9,22,84,267,19,4,70
311,Self Control,Laura Branigan,dance rock,1984,107,69,81,-12,16,78,246,22,3,70
312,Say You Say Me,Lionel Richie,adult standards,1986,128,41,64,-11,8,26,241,36,3,70
313,Heaven Is a Place on Earth,Belinda Carlisle,dance pop,2013,123,85,64,-8,5,79,247,2,3,70
314,I Want To Break Free - Remastered 2011,Queen,glam rock,1984,109,41,88,-11,12,78,199,8,4,70
315,Arthur's Theme (Best That You Can Do),Christopher Cross,adult standards,1981,137,52,53,-11,18,52,234,17,4,70
316,Carrie,Europe,album rock,1986,137,49,46,-7,36,14,272,11,3,70
317,We Are The World,U.S.A. For Africa,,1985,73,45,53,-15,7,29,427,19,4,69
318,Stuck On You,Lionel Richie,adult standards,1983,132,32,51,-16,9,25,192,62,3,69
319,Hurts So Good,John Mellencamp,album rock,1982,125,74,79,-5,11,97,219,4,4,69
320,How Am I Supposed to Live Without You,Michael Bolton,adult standards,1989,140,44,54,-12,11,23,256,19,3,69
321,Hysteria,Def Leppard,album rock,1987,107,85,66,-6,20,66,355,3,3,68
322,Nikita,Elton John,glam rock,1985,87,66,63,-9,7,75,343,12,3,68
323,Dancing With Myself,Billy Idol,album rock,1985,177,70,51,-11,30,91,360,2,8,68
324,I'll Be Over You,TOTO,album rock,1986,82,28,52,-18,26,41,230,6,3,68
325,Kids In America,Kim Wilde,dance pop,1981,160,78,56,-4,12,31,206,10,5,68
326,St. Elmos Fire (Man in Motion),John Parr,album rock,1985,111,60,61,-11,22,47,252,15,3,68
327,One More Night - 2016 Remaster,Phil Collins,mellow gold,1985,136,44,53,-9,10,34,289,79,3,68
328,Come On Eileen,Dexys Midnight Runners,bow pop,2009,107,87,41,-4,8,82,206,20,9,68
329,Where Do Broken Hearts Go,Whitney Houston,dance pop,1987,62,39,46,-12,7,25,278,63,3,67
330,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,43,63,-16,11,95,264,23,4,67
331,Brother Louie,Modern Talking,eurodance,1986,109,84,78,-9,14,83,223,40,5,67
332,Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,108,55,63,-13,6,20,299,72,6,67
333,End Of The Line,Traveling Wilburys,album rock,1988,167,84,58,-7,6,93,210,16,5,67
334,Every Breath You Take,The Police,album rock,2017,117,48,82,-9,8,72,252,56,3,67
335,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,album rock,2000,140,31,63,-12,7,24,233,61,3,67
336,Woman in Love,Barbra Streisand,adult standards,1980,170,28,47,-16,13,33,232,25,3,67
337,Cheri Cheri Lady,Modern Talking,eurodance,1985,114,62,68,-14,35,85,226,46,3,66
338,Higher Love - Single Version,Steve Winwood,album rock,2007,99,89,70,-7,50,92,252,6,4,66
339,That's What Friends Are For,Dionne Warwick,adult standards,1985,120,24,68,-16,7,17,256,51,3,66
340,Gloria,Laura Branigan,dance rock,1995,131,87,78,-4,15,88,295,14,3,66
341,Slave To Love,Bryan Ferry,album rock,1985,148,82,66,-6,5,79,266,18,3,66
342,Now And Forever,Richard Marx,mellow gold,1994,78,26,44,-11,11,17,215,66,3,65
343,Big in Japan,Alphaville,dance rock,1984,98,41,75,-15,34,24,286,7,4,65
344,Only You,Yazoo,dance rock,1982,106,31,75,-17,8,85,194,33,4,65
345,Valerie,Steve Winwood,album rock,1982,116,53,72,-11,8,73,247,57,3,65
346,Blue Monday '88,New Order,alternative rock,1994,130,89,68,-8,6,95,245,0,4,65
347,Gold,Spandau Ballet,dance rock,2000,143,74,71,-8,10,64,231,26,4,65
348,Nothing's Gonna Change My Love For You,Glenn Medeiros,soft rock,1986,142,43,45,-13,6,39,232,57,4,64
349,Sledgehammer,Peter Gabriel,album rock,1986,96,69,66,-5,4,42,314,2,3,64
350,Rhythm Of The Night,DeBarge,disco,1985,115,76,71,-12,8,96,229,8,5,64
351,Jessie's Girl,Rick Springfield,album rock,1981,132,59,72,-14,10,85,194,33,5,64
352,It's Raining Men,The Weather Girls,disco,1996,136,93,68,-6,70,61,211,32,12,64
353,Sunshine Reggae,Laid Back,classic danish pop,2008,168,79,70,-6,8,93,258,10,4,64
354,Wonderful Life,Black,dance rock,1987,106,52,72,-12,21,82,288,71,3,64
355,The Riddle,Nik Kershaw,dance rock,1984,102,66,58,-8,14,90,235,12,3,63
356,Papa Don't Preach,Madonna,dance pop,1986,122,91,81,-9,2,97,345,31,4,63
357,Didn't We Almost Have It All,Whitney Houston,dance pop,1987,131,49,54,-10,14,34,305,42,3,63
358,All Right,Christopher Cross,adult standards,1983,133,65,71,-5,23,50,254,17,4,63
359,Biggest Part of Me,Ambrosia,adult standards,1980,153,72,50,-8,35,88,324,24,5,63
360,Save a Prayer - 2009 Remaster,Duran Duran,dance rock,1982,114,71,57,-9,16,67,333,35,3,62
361,Baby Come To Me,Patti Austin,adult standards,1981,90,50,63,-12,14,70,215,55,8,62
362,Fame - Rerecorded,Irene Cara,dance rock,2018,131,80,71,-7,8,94,319,7,3,62
363,Hard Habit to Break - 2006 Remaster,Chicago,adult standards,1984,81,61,58,-6,17,40,284,45,3,61
364,Rock You Like a Hurricane,Scorpions,album rock,2017,124,83,58,-6,32,67,254,0,4,61
365,When the Children Cry,White Lion,album rock,1987,130,24,49,-14,7,38,259,67,3,61
366,Is This Love - 2017 Remaster,Whitesnake,album rock,1987,180,79,33,-7,12,53,285,11,4,60
367,I Knew You Were Waiting (For Me),George Michael,new wave pop,1986,108,68,73,-11,31,68,242,27,4,60
368,You Keep Me Hangin On,Kim Wilde,dance pop,1986,123,68,69,-12,14,71,255,8,3,60
369,Dancing with Tears in My Eyes,Ultravox,art rock,1984,144,91,59,-8,60,93,244,15,4,59
370,In The Army Now,Status Quo,album rock,2002,105,73,68,-8,14,94,281,11,2,59
371,Here I Go Again - 2017 Remaster,Whitesnake,album rock,1987,90,85,38,-6,9,27,276,15,4,58
372,Holiday,Madonna,dance pop,1983,118,70,81,-9,5,73,232,3,5,58
373,I Think We're Alone Now,Tiffany,new wave pop,2008,130,89,65,-5,9,70,227,0,4,58
374,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,jazz fusion,1991,191,39,41,-17,10,40,215,42,3,58
375,Cold as Ice - 2008 Remaster,Foreigner,album rock,2008,131,71,55,-5,14,51,200,6,3,57
376,Zulu Nation Throw Down,Afrika Bambaataa,bronx hip hop,2015,108,95,85,-4,10,91,433,76,19,50
377,It's Only Love - 2008 Remaster,Simply Red,british soul,2008,92,88,67,-5,4,75,299,51,4,50
378,Lucky Star,Madonna,dance pop,1983,117,81,80,-5,22,93,338,20,4,46
379,Romeo - 2014 Remaster,Donna Summer,dance pop,1996,141,85,85,-8,11,96,199,3,4,43
380,No Scrubs,TLC,atl hip hop,1999,93,68,74,-4,7,59,214,3,10,79
381,I Want It That Way,Backstreet Boys,boy band,2001,99,70,69,-6,16,48,214,22,3,76
382,It Wasn't Me,Shaggy,dance pop,2000,95,61,85,-5,31,65,228,6,7,76
383,"Because You Loved Me (Theme from ""Up Close and Personal"")",C̩line Dion,canadian pop,1996,120,47,61,-10,10,18,274,31,3,74
384,Big Poppa - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1994,84,58,78,-7,14,76,253,43,27,74
385,I Got 5 On It,Luniz,g funk,1995,174,71,60,-8,13,58,254,21,36,73
386,Boom Boom Boom Boom!!,Vengaboys,bubblegum dance,2000,138,89,80,-7,3,97,202,1,4,73
387,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,108,85,73,-4,27,61,225,4,4,73
388,Bed Of Roses,Bon Jovi,glam metal,1992,165,60,31,-6,21,16,394,10,3,73
389,Don't Look Back in Anger - Remastered,Oasis,britpop,1995,163,94,33,-3,15,33,290,7,6,73
390,Always Be My Baby,Mariah Carey,dance pop,1995,79,53,65,-8,25,49,258,46,4,73
391,Angels,Robbie Williams,dance pop,1997,150,59,43,-6,10,24,265,16,3,73
392,Return of the Mack,Mark Morrison,british soul,1996,95,83,72,-5,16,61,213,1,11,72
393,Pony,Ginuwine,dance pop,1999,142,61,75,-9,12,97,252,0,9,72
394,Freed From Desire,Gala,eurodance,2007,129,86,70,-4,10,64,213,59,5,71
395,Better Off Alone,Alice DJ,europop,2000,137,82,67,-9,29,76,218,0,6,71
396,Hero,Mariah Carey,dance pop,1993,120,38,50,-9,12,18,258,74,3,71
397,End Of The Road,Boyz II Men,boy band,1991,150,43,64,-9,6,53,351,7,2,71
398,I'll Be Missing You (feat. 112),Diddy,dance pop,2004,110,48,86,-9,59,93,302,5,6,71
399,Forgot About Dre,Dr. Dre,g funk,1999,134,74,92,-1,16,62,222,8,8,71
400,Fantasy,Mariah Carey,dance pop,1995,102,73,67,-8,12,80,243,14,4,70
401,Sandstorm,Darude,eurodance,2000,136,97,53,-8,8,59,225,14,5,70
402,Who Am I (What's My Name)?,Snoop Dogg,g funk,1993,97,83,69,-4,52,69,246,0,5,70
403,Mr. Vain - Original Radio Edit,Culture Beat,bubblegum dance,1993,133,100,70,-8,12,39,257,7,4,69
404,Spending My Time,Roxette,europop,1991,171,57,42,-5,13,22,276,24,3,69
405,Let's Get Loud,Jennifer Lopez,dance pop,1999,131,94,82,-5,35,91,239,14,6,69
406,The Rhythm of the Night,Corona,bubblegum dance,1994,128,81,69,-12,10,80,264,0,3,69
407,The Power of Love,C̩line Dion,canadian pop,1993,140,52,55,-9,24,25,342,36,3,68
408,Narcotic - Radio Edit,Liquido,german alternative rock,1998,102,61,62,-7,9,45,236,0,2,68
409,Miami,Will Smith,hip hop,1997,108,53,88,-6,4,89,198,3,15,68
410,Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,94,69,90,-4,29,63,230,18,28,68
411,3AM,Matchbox Twenty,neo mellow,1996,108,67,52,-9,12,54,226,1,3,68
412,High,Lighthouse Family,europop,1997,102,63,66,-9,13,59,308,11,3,68
413,L'Amour Toujours,Gigi D'Agostino,eurodance,2011,139,73,62,-8,36,81,239,3,3,67
414,"Rhythm Is A Dancer - 7"" Edit",SNAP!,diva house,1992,124,75,79,-11,14,71,226,27,4,67
415,Say My Name,Destiny's Child,dance pop,1999,67,68,52,-4,13,75,271,27,16,67
416,Heal the World,Michael Jackson,pop,1991,81,49,53,-8,10,10,384,54,5,67
417,The Boy Is Mine,Brandy,dance pop,1998,93,71,70,-7,32,76,295,54,4,66
418,Weak,SWV,dance pop,1992,128,53,69,-11,7,57,292,11,4,66
419,Walking in Memphis,Cher,dance pop,1995,129,68,70,-7,17,53,235,59,3,66
420,Angel of Mine - Radio Mix,Monica,dance pop,1998,90,56,59,-7,22,21,250,0,2,66
421,Picture Of You,Boyzone,boy band,1997,117,92,76,-6,37,88,206,10,4,65
422,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",C̩line Dion,canadian pop,1992,77,40,46,-10,13,12,249,64,3,65
423,Run To You,Bryan Adams,album rock,1984,127,81,56,-6,29,64,233,1,3,65
424,No Matter What,Boyzone,boy band,1998,93,42,70,-9,14,53,274,19,2,65
425,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,bubblegum dance,1998,128,97,82,-11,39,77,284,26,6,64
426,Dreams,Gabrielle,british soul,1993,99,47,75,-14,22,57,223,17,4,64
427,Fading Like a Flower (Every Time You Leave),Roxette,europop,1991,105,67,61,-6,22,32,231,20,3,64
428,It's Not Right But It's Okay,Whitney Houston,dance pop,1998,128,80,81,-7,7,53,292,16,10,64
429,Stay Another Day,East 17,boy band,1994,128,49,52,-8,19,44,267,58,3,63
430,A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1993,108,32,52,-10,14,13,243,63,3,63
431,Encore Une Fois - Future Breeze Edit,Sash!,bubblegum dance,1997,133,93,66,-7,19,84,221,1,4,62
432,Incomplete,Sisqo,dance pop,1999,119,44,75,-8,14,27,274,28,8,62
433,Sweet Dreams,La Bouche,bubblegum dance,2007,134,96,66,-6,9,83,205,8,5,62
434,Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,96,82,87,-5,15,79,301,48,26,62
435,Mysterious Girl - Radio Edit,Peter Andre,europop,2004,172,82,66,-6,30,86,217,14,21,62
436,It's Gonna Be Me,*NSYNC,boy band,2000,165,87,64,-5,6,88,191,5,8,62
437,I Have Nothing - Film Version,Whitney Houston,dance pop,2017,153,45,49,-9,9,17,296,76,3,61
438,I Promised Myself,Nick Kamen,,1990,128,80,58,-12,3,69,241,0,3,61
439,You,Ten Sharp,,1991,174,90,41,-8,19,67,273,43,3,61
440,Relight My Fire (feat. Lulu),Take That,boy band,1993,123,94,65,-7,10,93,252,4,5,61
441,Get A Way,Maxx,bubblegum dance,1994,133,86,85,-10,5,60,227,3,4,60
442,More And More - Single Version,Captain Hollywood Project,bubblegum dance,1993,126,85,66,-12,9,71,254,23,3,60
443,Free - Mood II Swing Radio Edit,Ultra Nat̩,deep house,1997,125,92,76,-6,4,74,233,0,4,60
444,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,glam rock,1994,161,39,30,-15,11,14,292,26,3,59
445,Please Don't Go,Double You,eurodance,1992,120,84,71,-12,3,49,200,6,4,59
446,Piu bella cosa,Eros Ramazzotti,italian pop,2014,110,79,67,-5,11,62,265,8,3,58
447,When the Heartache Is Over,Tina Turner,disco,1999,115,77,69,-6,7,43,224,1,3,58
448,Bailando,Paradisio,bubblegum dance,1997,133,94,65,-9,12,84,229,8,4,58
449,Let There Be Love - 2002 Digital Remaster,Simple Minds,art rock,1991,88,88,49,-6,13,60,309,8,4,57
450,I Will Always Love You - Film Version,Whitney Houston,dance pop,2017,133,28,34,-10,10,12,275,61,4,57
451,I'll Be There,Mariah Carey,dance pop,1998,82,51,41,-10,93,30,264,70,3,56
452,Don't Stop,ATB,german dance,1999,134,94,71,-5,32,57,221,15,4,56
453,Das Boot,U96,bubble trance,1992,123,88,64,-8,25,33,314,1,7,56
454,Hold On My Heart - 2007 Digital Remaster,Genesis,album rock,1991,172,36,46,-13,7,27,278,61,3,56
455,Real Real Gone,Van Morrison,classic rock,1990,142,85,70,-7,19,95,221,38,3,56
456,King Of My Castle - Roy Malone's King Mix,Wamdue Project,disco house,2009,125,54,87,-9,6,76,299,4,8,55
457,Be With You,Enrique Iglesias,dance pop,1999,122,87,68,-5,5,54,219,4,3,55
458,Ain't That Just the Way,Lutricia McNeal,,1996,174,65,74,-9,19,77,215,6,22,55
459,Have You Ever - Radio Edit,Brandy,dance pop,2005,134,48,68,-7,30,23,215,60,4,54
460,Gangsta's Paradise,Coolio,g funk,1995,80,63,64,-6,40,42,242,4,5,54
461,Show Me Love,Robin S,disco house,2017,120,72,82,-6,8,56,254,1,13,53
462,When I Look Into Your Eyes,Firehouse,album rock,2010,147,61,39,-8,16,25,240,0,3,53
463,Insomnia - Radio Edit,Faithless,big beat,2010,127,92,71,-9,37,53,216,6,4,50
464,If You Ever,East 17,boy band,1996,140,68,58,-9,31,57,255,18,3,48
465,Pump Up The Jam,Technotronic,eurodance,2019,125,84,89,-9,5,72,320,1,7,46
466,Doin' It,LL Cool J,east coast hip hop,1996,95,53,81,-12,12,62,294,34,19,46
467,Please Forgive Me,Bryan Adams,album rock,2005,67,46,53,-7,10,15,356,50,3,43
468,In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83
469,The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,83
470,Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81
471,Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81
472,Umbrella,Rihanna,barbadian pop,2008,174,83,58,-5,4,57,276,1,13,80
473,Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,80
474,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
475,Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,79
476,American Boy,Estelle,r&b,2008,118,73,73,-3,7,51,285,17,33,79
477,Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,79
478,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,78
479,Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,70,65,-5,9,47,202,0,4,78
480,Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,78
481,Fireflies,Owl City,pop,2009,180,66,51,-7,12,46,228,3,4,78
482,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
483,So Sick,Ne-Yo,dance pop,2006,93,57,45,-8,19,58,207,25,31,77
484,Take A Bow,Rihanna,barbadian pop,2008,82,47,70,-8,9,57,229,25,7,77
485,Dilemma,Nelly,dance pop,2002,168,55,73,-8,20,61,289,23,14,77
486,I Gotta Feeling,The Black Eyed Peas,dance pop,2009,128,77,74,-6,51,61,289,9,3,77
487,Halo,Beyonc̩,dance pop,2008,80,72,51,-6,6,47,262,27,6,77
488,In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,77
489,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,77
490,Crank That (Soulja Boy),Soulja Boy,atl hip hop,2007,140,74,74,-2,5,80,222,52,8,76
491,Gasolina,Daddy Yankee,latin,2004,96,80,86,-6,8,75,193,33,6,76
492,Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76
493,Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,76
494,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2004,171,74,69,-5,34,6,322,1,26,76
495,I Knew You Were Trouble.,Taylor Swift,dance pop,2012,77,47,62,-7,3,68,220,0,4,75
496,Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,75
497,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75
498,Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,69,84,-3,13,83,273,10,18,75
499,Replay,Iyaz,dance pop,2009,91,75,71,-6,17,20,182,17,7,74
500,Live Your Life (feat. Rihanna),T.I.,atl hip hop,2008,160,86,38,-3,21,48,339,7,26,74
501,Grenade,Bruno Mars,pop,2010,110,56,71,-7,12,23,223,15,6,74
502,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,126,82,65,-4,67,77,231,0,4,74
503,Womanizer,Britney Spears,dance pop,2009,139,70,72,-5,9,24,224,7,6,74
504,You Found Me,The Fray,modern rock,2009,152,80,34,-5,14,40,242,2,4,74
505,One Tow Step (feat. Missy Elliot),Ciara,dance pop,2004,113,51,94,-11,4,84,204,4,16,74
506,Smack That,Akon,dance pop,2006,119,74,94,-5,9,93,212,32,5,73
507,Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,71,206,10,8,73
508,No Air (feat. Chris Brown),Jordin Sparks,dance pop,2007,160,76,47,-5,6,33,264,5,20,73
509,We Are Never Ever Getting Back Together,Taylor Swift,dance pop,2012,86,68,63,-6,12,75,193,1,9,73
510,Love Story,Taylor Swift,dance pop,2008,119,74,62,-4,8,31,236,13,3,73
511,Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,73
512,A Milli,Lil Wayne,hip hop,2008,151,70,67,-9,19,77,222,4,28,73
513,U Remind Me,Usher,atl hip hop,2001,94,63,66,-5,25,73,267,19,8,73
514,Right Round,Flo Rida,dance pop,2009,125,67,72,-7,23,71,205,1,6,72
515,Because Of You,Ne-Yo,dance pop,2007,110,54,81,-6,10,83,267,53,4,72
516,Call on Me - Radio Mix,Eric Prydz,big room,2004,126,84,60,-7,84,45,171,0,38,72
517,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,72
518,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2001,94,71,84,-5,11,92,267,2,6,72
519,Pump It,The Black Eyed Peas,dance pop,2005,154,93,65,-3,75,74,213,1,18,72
520,Break Your Heart,Taio Cruz,dance pop,2010,122,93,61,-4,9,57,202,3,3,71
521,Numb / Encore,JAY-Z,east coast hip hop,2004,107,80,69,-4,55,80,205,6,16,71
522,Hate That I Love You,Rihanna,barbadian pop,2008,94,73,64,-5,10,73,219,32,9,71
523,Lollipop,Lil Wayne,hip hop,2008,148,43,83,-9,14,45,299,6,8,71
524,Rockstar,Nickelback,alternative metal,2005,144,91,62,-3,34,69,252,5,4,71
525,I Wanna Love You,Akon,dance pop,2006,100,45,87,-9,31,35,247,4,4,70
526,Crush,David Archuleta,dance pop,2008,162,66,57,-5,7,49,214,1,3,70
527,Apologize,Timbaland,dance pop,2007,118,60,66,-6,10,8,184,4,3,70
528,7 Days,Craig David,british soul,2001,83,81,66,-7,10,89,235,23,5,70
529,Broken Strings,James Morrison,neo mellow,2008,112,72,57,-5,8,32,250,1,3,70
530,Bleeding Love,Leona Lewis,british soul,2007,104,65,64,-6,15,20,263,19,4,70
531,In My Head,Jason Derulo,dance pop,2010,110,75,76,-4,35,85,199,3,3,69
532,Ridin',Chamillionaire,dirty south rap,2005,143,80,79,-5,30,84,303,19,10,69
533,Hot N Cold,Katy Perry,dance pop,2008,132,84,71,-4,7,86,220,0,4,69
534,Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,49,261,14,2,68
535,Snap Yo Fingers,Youngbloodz,atl hip hop,2006,82,76,84,-5,29,63,274,1,23,68
536,Boom Boom Pow,The Black Eyed Peas,dance pop,2009,130,86,87,-6,13,40,251,13,7,68
537,Lady - Hear Me Tonight,Modjo,disco house,2001,126,81,72,-6,6,87,307,1,4,68
538,Superstar,Jamelia,europop,2003,110,65,80,-7,4,82,215,5,4,67
539,Love Lockdown,Kanye West,chicago rap,2008,120,52,76,-8,11,11,270,5,3,67
540,The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,2003,103,69,78,-3,3,64,205,2,3,66
541,Release Me,Agnes,dance pop,2009,128,92,62,-3,11,72,256,1,3,65
542,About You Now,Sugababes,bubblegum dance,2007,82,70,58,-6,49,59,212,0,4,65
543,Pjanoo - Radio Edit,Eric Prydz,big room,2008,126,87,60,-5,11,84,157,0,3,65
544,Let It Rock,Kevin Rudolf,dance pop,2008,113,78,61,-4,7,44,231,0,4,65
545,Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2011,142,98,64,-5,37,49,199,0,6,64
546,Lean Back,Terror Squad,bronx hip hop,2004,127,92,80,-3,7,70,247,11,47,64
547,TiK ToK,Kesha,dance pop,2014,120,67,75,-7,28,63,200,6,12,63
548,All Rise,Blue,boy band,2001,98,74,72,-3,17,93,224,12,3,63
549,Fergalicious,Fergie,dance pop,2006,129,58,91,-8,13,83,292,6,32,63
550,Something,Lasgo,belgian dance,2001,140,98,64,-7,11,38,221,3,4,63
551,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2009,130,86,66,-5,20,50,189,1,3,63
552,Anyone Of Us (Stupid Mistake),Gareth Gates,europop,2002,107,72,70,-6,8,65,228,28,3,61
553,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2006,100,42,62,-7,12,29,203,29,2,61
554,Thank God I Found You,Mariah Carey,dance pop,1999,130,53,47,-6,11,15,257,59,3,61
555,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2009,130,30,96,-6,8,80,312,2,13,60
556,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,75,-5,69,65,213,15,6,60
557,Bump Bump Bump,B2K,boy band,2003,96,68,84,-6,5,89,283,10,21,60
558,Beautiful Girls,Sean Kingston,dance pop,2014,118,64,54,-7,24,75,242,14,9,60
559,I Know You Want Me (Calle Ocho),Pitbull,dance pop,2009,127,74,82,-6,24,80,237,1,14,60
560,Leave The World Behind - Radio Edit,Axwell,big room,2009,128,85,53,-8,32,28,162,0,5,58
561,D̩senchant̩e - Radio Edit,Kate Ryan,belgian pop,2008,140,94,52,-5,23,29,221,17,7,57
562,Moving too fast - Radio Edit,Artful Dodger,uk garage,2012,127,51,84,-11,3,52,238,9,5,57
563,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,east coast hip hop,2002,86,75,56,-4,64,49,324,1,32,56
